stopword_strategy,model_type,feature_method,num_features,training_time_sec,model_size_estimate,accuracy,precision,recall,f1_score
none,nb,tfidf,14794,0.12162041664123535,10,0.6808716707021791,0.54866106020754,0.6808716707021791,0.5950556852595711
none,lr,tfidf,14794,13.093642950057983,19,0.864406779661017,0.8463496752663872,0.864406779661017,0.8430228879798937
none,svm,tfidf,14794,1.6099472045898438,17,0.9108958837772397,0.9073163082664912,0.9108958837772397,0.9058320206136411
nltk,nb,tfidf,14675,0.09742975234985352,10,0.7142857142857143,0.6038627589707567,0.7142857142857143,0.6298363709700718
nltk,lr,tfidf,14675,13.521522998809814,19,0.8711864406779661,0.8567589404204837,0.8711864406779661,0.8527967632353175
nltk,svm,tfidf,14675,1.4271128177642822,17,0.9099273607748184,0.9044863514460025,0.9099273607748184,0.9044254720199966
minimal,nb,tfidf,14786,0.09230184555053711,10,0.6900726392251816,0.574541526891021,0.6900726392251816,0.6026987393878258
minimal,lr,tfidf,14786,13.71869945526123,19,0.8658595641646489,0.8486061542981664,0.8658595641646489,0.8451502426313212
minimal,svm,tfidf,14786,1.4446163177490234,17,0.908958837772397,0.9051857633719935,0.908958837772397,0.9037397893313772
extended,nb,tfidf,14669,0.07307052612304688,10,0.7176755447941888,0.6204369495859884,0.7176755447941888,0.6345171320581564
extended,lr,tfidf,14669,13.903757095336914,19,0.8726392251815981,0.858296192506719,0.8726392251815981,0.8550955273077875
extended,svm,tfidf,14669,1.2123847007751465,17,0.9123486682808717,0.9070999474796243,0.9123486682808717,0.9070008486460648
